REC-START | 2025-10-27 12:44:18.879

INIT-VARS | POS:[-3.159839E-07,0.7190169,-12.99999] | ROT:[0.001421338,3.751424E-06,2.753349E-07] | VEL:[-1.57569E-08,-6.854191E-07,-3.715726E-08] | AVL:[-9.708136E-08,-2.493339E-12,4.175613E-08]
CURR-VARS | DUR:[22]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00803]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00836]
CURR-VARS | DUR:[25]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00851]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00885]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00897]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00909]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00931]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00937]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00949]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00958]
CURR-VARS | DUR:[25]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00958]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00958]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00958]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00958]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00958]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00958]
CURR-VARS | DUR:[16]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00958]
CURR-VARS | DUR:[24]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00958]
CURR-VARS | DUR:[16]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00958]
CURR-VARS | DUR:[17]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00958]
CURR-VARS | DUR:[24]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00958]
CURR-VARS | DUR:[15]ms | ACC:[0.98297] | BRK:[0.00000] | STR:[-0.00980]
CURR-VARS | DUR:[25]ms | ACC:[0.95372] | BRK:[0.00000] | STR:[-0.01004]
CURR-VARS | DUR:[16]ms | ACC:[0.90369] | BRK:[0.00000] | STR:[-0.01035]
CURR-VARS | DUR:[16]ms | ACC:[0.87062] | BRK:[0.00000] | STR:[-0.01053]
CURR-VARS | DUR:[24]ms | ACC:[0.82777] | BRK:[0.00000] | STR:[-0.01080]
CURR-VARS | DUR:[17]ms | ACC:[0.78790] | BRK:[0.00000] | STR:[-0.01102]
CURR-VARS | DUR:[25]ms | ACC:[0.74803] | BRK:[0.00000] | STR:[-0.01114]
CURR-VARS | DUR:[15]ms | ACC:[0.69525] | BRK:[0.00000] | STR:[-0.01126]
CURR-VARS | DUR:[17]ms | ACC:[0.66585] | BRK:[0.00000] | STR:[-0.01126]
CURR-VARS | DUR:[25]ms | ACC:[0.63339] | BRK:[0.00000] | STR:[-0.01126]
CURR-VARS | DUR:[15]ms | ACC:[0.60735] | BRK:[0.00000] | STR:[-0.01126]
CURR-VARS | DUR:[25]ms | ACC:[0.59802] | BRK:[0.00000] | STR:[-0.01114]
CURR-VARS | DUR:[16]ms | ACC:[0.58817] | BRK:[0.00000] | STR:[-0.01050]
CURR-VARS | DUR:[16]ms | ACC:[0.58351] | BRK:[0.00000] | STR:[-0.00998]
CURR-VARS | DUR:[25]ms | ACC:[0.57779] | BRK:[0.00000] | STR:[-0.00925]
